['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '69', '1', '1418682163.170388', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682579.728403', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '-0', '14649', '0', '1418682579.812240', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '1', '?', '13877', '1', '1418682581.474011', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682581.625025', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682583.343390', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '-0', '13363', '0', '1418682583.418475', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '1', '?', '13877', '1', '1418682585.168378', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682585.313886', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682586.878359', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '5.76266e-10', '17731', '0', '1418682586.953694', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '1', '?', '13877', '1', '1418682588.703350', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682588.847361', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682590.492717', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '9.09895e+27', '14643', '0', '1418682590.601045', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '1', '?', '13877', '1', '1418682592.357520', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682592.498102', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682593.988183', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '-0', '12340', '0', '1418682594.075773', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '1', '1', '0', '1', '?', '13878', '1', '1418682595.852945', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682596.010692', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682597.682679', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '-0', '17989', '0', '1418682597.760144', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '1', '1', '0', '1', '?', '13878', '1', '1418682599.507174', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682599.655560', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682601.337789', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '2.90884e-15', '14134', '0', '1418682601.443631', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '1', '1', '0', '1', '?', '13878', '1', '1418682603.082917', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682603.245780', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682604.951268', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '-0', '12856', '0', '1418682605.081106', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '1', '1', '0', '1', '?', '13878', '1', '1418682606.816015', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682606.960519', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682608.606007', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '-0', '17201', '0', '1418682608.696093', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.2114', '0.46', '1', '0', '1', '1', '0', '1', '?', '12850', '1', '1418682610.351986', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682610.498247', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682612.101489', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '9.09901e+27', '13625', '0', '1418682612.201683', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.2114', '0.46', '1', '0', '1', '1', '0', '1', '?', '12850', '1', '1418682613.965720', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682614.135741', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682615.795592', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '5.76267e-10', '12868', '0', '1418682615.903183', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.2114', '0.46', '1', '0', '1', '1', '0', '1', '?', '12850', '1', '1418682617.659965', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682617.803609', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682619.370199', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.505747', '16953', '0', '1418682619.449635', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.2114', '0.46', '1', '0', '1', '1', '0', '1', '?', '12850', '1', '1418682621.195061', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682621.341565', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682623.024696', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.54023', '12336', '0', '1418682623.131625', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.2114', '0.46', '1', '0', '0', '1', '0', '1', '?', '12851', '1', '1418682624.849677', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682624.999060', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682626.679921', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.517241', '16962', '0', '1418682626.760612', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.2114', '0.46', '1', '0', '0', '1', '0', '1', '?', '12851', '1', '1418682628.425273', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682628.576920', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682630.214270', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.517241', '16962', '0', '1418682630.300210', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '0', '1', '?', '16947', '1', '1418682632.039385', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682632.207644', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682633.868512', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.505747', '17977', '0', '1418682633.966202', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '0', '1', '?', '16947', '1', '1418682635.733128', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682635.885531', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682637.522868', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.494253', '13623', '0', '1418682637.611816', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '0', '1', '?', '16947', '1', '1418682639.387616', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682639.527754', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682641.256618', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.505747', '17977', '0', '1418682641.336815', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '0', '1', '?', '16947', '1', '1418682643.081508', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682643.242874', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682644.871232', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.517241', '16961', '0', '1418682644.968041', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '1', '1', '?', '16946', '1', '1418682646.696222', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682646.847725', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682648.485957', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.517241', '16962', '0', '1418682648.572022', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '1', '1', '?', '16946', '1', '1418682650.311200', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682650.451840', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682652.101426', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.528736', '14146', '0', '1418682652.176257', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '1', '1', '?', '16946', '1', '1418682653.846172', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682653.992805', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682655.715296', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.54023', '13124', '0', '1418682655.818497', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '1', '1', '?', '16946', '1', '1418682657.540284', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682657.698797', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682659.369549', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.54023', '13125', '0', '1418682659.455855', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '0', '1', '?', '16947', '1', '1418682661.075398', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682661.223142', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682662.905129', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.505747', '17977', '0', '1418682662.982823', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '0', '1', '?', '16947', '1', '1418682664.731992', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682664.901385', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682666.598879', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.528736', '14146', '0', '1418682666.700576', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '0', '1', '?', '16947', '1', '1418682668.463878', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682668.616128', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682670.253612', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.494253', '13623', '0', '1418682670.340810', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.46', '1', '0', '0', '1', '0', '1', '?', '16947', '1', '1418682672.078362', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682672.220607', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682673.908222', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.54023', '13125', '0', '1418682673.993039', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '1', '?', '16962', '1', '1418682675.732471', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682675.899350', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682677.681973', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.505747', '17976', '0', '1418682677.770044', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '1', '?', '16962', '1', '1418682679.427084', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682679.577591', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682681.256084', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.517241', '16962', '0', '1418682681.337647', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '1', '?', '16962', '1', '1418682683.081450', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682683.227449', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682684.870810', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.517241', '16962', '0', '1418682684.952372', '0', '0', '0']
['4', '16', '90', '3.68', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '1', '?', '16962', '1', '1418682686.616165', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682686.785804', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682688.445915', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.517241', '16962', '0', '1418682688.545501', '0', '0', '0']
['4', '16', '90', '12.2', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '1', '?', '12848', '1', '1418682690.389684', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682690.536056', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682692.179419', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.517241', '16961', '0', '1418682692.261496', '0', '0', '0']
['4', '16', '90', '12.2', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '1', '?', '12848', '1', '1418682694.005295', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682694.149282', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682695.715014', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.54023', '13124', '0', '1418682695.801327', '0', '0', '0']
['4', '16', '90', '12.2', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '1', '?', '12848', '1', '1418682697.540869', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682697.706763', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682699.488887', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.54023', '13123', '0', '1418682699.578713', '0', '0', '0']
['4', '16', '90', '12.2', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '1', '?', '12848', '1', '1418682701.353138', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682701.495520', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682703.182379', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.505747', '17976', '0', '1418682703.265206', '0', '0', '0']
['4', '16', '90', '12.2', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '0', '?', '12849', '1', '1418682704.928000', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682705.071754', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682706.718604', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.54023', '13124', '0', '1418682706.821668', '0', '0', '0']
['4', '16', '90', '12.2', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '0', '?', '12849', '1', '1418682708.582348', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682708.736623', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682710.411600', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.528736', '14147', '0', '1418682710.499664', '0', '0', '0']
['4', '16', '90', '12.2', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '0', '?', '12849', '1', '1418682712.276078', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682712.424351', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682713.986440', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.517241', '16962', '0', '1418682714.064765', '0', '0', '0']
['4', '16', '90', '12.2', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '0', '?', '12849', '1', '1418682715.811437', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682715.952820', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682717.640807', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.505747', '17976', '0', '1418682717.716754', '0', '0', '0']
['4', '16', '90', '12.2', '117', '0.3471', '0.71', '1', '0', '0', '1', '0', '0', '?', '12849', '1', '1418682719.465808', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682719.622187', '0', '0', '0']
